form	lemma	POS	morph
༄༅། །		PUNCT
ལ་	ལ་	ADP
ར་	ལ་	PART
སྟོན་པ་	སྟོན་པ་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
སྡེ་སྣོད་	སྡེ་སྣོད་	NOUN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འདི་	འདི་	DET
གོ་བ་	གོ་བ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཡིན་	ཡིན་	NO_POS
།		PUNCT
འདྲིས་པ་	འདྲིས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
གཞུང་	གཞུང་	NOUN
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
འདི་དག་	འདི་དག་	NO_POS
ལ་	ལ་	PART
བསླབ་	བསླབ་	VERB
ན་	ལ་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
གཟིགས་པ་	གཟིགས་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ཚོགས་	ཚོགས་	NOUN
འཕེལ་བ་	འཕེལ་བ་	VERB
དང་	དང་	NO_POS
མོས་པ་	མོས་པ་	VERB
སྣ་ཚོགས་པ་	སྣ་ཚོགས་པ་	DET
འི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
གྱི་	གི་	PART
ཁམས་	ཁམས་	NOUN
སྨིན་པ་	སྨིན་པ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
ལ་	ལ་	PART
མཁས་པ་	མཁས་པ་	VERB
ར་	ལ་	PART
འགྱུར་བ་	འགྱུར་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
རོ་	རོ་	NOUN
"།
།"		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
དེང་སང་	དེང་སང་	ADV
གི་	གི་	PART
སློབ་གཉེར་	སློབ་གཉེར་	NOUN
མཁན་པོ་	མཁན་པོ་	NOUN
ཁ་ཅིག་	ཁ་ཅིག་	PRON
ནི་	ནི་	NO_POS
ཅི་ཙམ་	ཅི་ཙམ་	NO_POS
དུ་	ལ་	PART
ཐོས་པ་	ཐོས་པ་	VERB
མང་བ་	མང་བ་	VERB
དེ་ཙམ་	དེ་ཙམ་	NO_POS
དུ་	ལ་	PART
ཁེངས་པ་	ཁེངས་པ་	VERB
ས་	གིས་	PART
དྲེགས་	དྲེགས་	NOUN
ཏེ་	སྟེ་	PART
།		PUNCT
ད་ནི་	ད་ནི་	NO_POS
མང་	མང་	VERB
དུ་	ལ་	PART
ཐོས་པ་	ཐོས་པ་	VERB
གཞུང་ལུགས་	གཞུང་ལུགས་	NOUN
ཤེས་པ་	ཤེས་པ་	VERB
།		PUNCT
སྡེ་སྣོད་	སྡེ་སྣོད་	NOUN
ལ་	ལ་	PART
མཁས་པ་	མཁས་པ་	VERB
འོ་	གོ་	PART
ཞེ་	ཅེས་	PART
རྟོག་	རྟོག་	VERB
ཅིང་	ཅིང་	PART
།		PUNCT
གང་ཟག་	གང་ཟག་	NOUN
གཞན་	གཞན་	DET
ཐོས་པ་	ཐོས་པ་	VERB
མ་	མ་	PART
བསགས་པ་	བསགས་པ་	VERB
དག་	དག་	DET
མཐོང་བ་	མཐོང་བ་	VERB
ན་	ན་	ADP
འང་	ཀྱང་	PART
འདི་དག་	འདི་དག་	NO_POS
ནི་	ནི་	NO_POS
བླུན་པ་	བླུན་པ་	NO_POS
རྟུལ་བ་	རྟུལ་བ་	NO_POS
བུས་པ་	བུས་པ་	VERB
གླེན་པ་	གླེན་པ་	VERB
མི་	མི་	PART
མཁས་པ་	མཁས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
ཞེ་	ཅེས་	PART
ཁྱད་	ཁྱད་	NOUN
དུ་	ལ་	PART
གསོད་	གསོད་	NO_POS
ལ་	ལ་	PART
།		PUNCT
མཁས་པ་	མཁས་པ་	VERB
གཞན་དག་	གཞན་དག་	NO_POS
གི་	གི་	PART
གཞུང་ལུགས་	གཞུང་ལུགས་	NOUN
ཤིག་	ཅིག་	PART
བཀླག་	བཀླག་	VERB
ཀྱང་	ཀྱང་	PART
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
གུ་	གུ་	VERB
ཤིང་	ཅིང་	PART
དོན་	དོན་	NOUN
དུ་	ལ་	PART
གཉེར་བ་	གཉེར་བ་	VERB
མེད་	མེད་	VERB
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
དང་པོ་	དང་པོ་	ADJ
